Размер;Потоки;Время(сек);FLOPS;GFLOPS;Ускорение;Эффективность(%)
200;1;0.0101244;16000000;1.580;1.000;100.00
200;2;0.0079319;16000000;2.017;1.276;63.82
200;4;0.0042644;16000000;3.752;2.374;59.35
200;8;0.0056434;16000000;2.835;1.794;22.43
400;1;0.0656195;128000000;1.951;1.000;100.00
400;2;0.0357663;128000000;3.579;1.835;91.73
400;4;0.0280669;128000000;4.561;2.338;58.45
400;8;0.0182680;128000000;7.007;3.592;44.90
800;1;0.5606212;1024000000;1.827;1.000;100.00
800;2;0.3146850;1024000000;3.254;1.782;89.08
800;4;0.3134971;1024000000;3.266;1.788;44.71
800;8;0.3236933;1024000000;3.163;1.732;21.65
1200;1;3.5568247;3456000000;0.972;1.000;100.00
1200;2;1.8311773;3456000000;1.887;1.942;97.12
1200;4;1.6295095;3456000000;2.121;2.183;54.57
1200;8;2.0084115;3456000000;1.721;1.771;22.14
1600;1;12.4536561;8192000000;0.658;1.000;100.00
1600;2;6.8942599;8192000000;1.188;1.806;90.32
1600;4;4.2870960;8192000000;1.911;2.905;72.62
1600;8;5.0924254;8192000000;1.609;2.446;30.57
2000;1;33.4686515;16000000000;0.478;1.000;100.00
2000;2;19.1316385;16000000000;0.836;1.749;87.47
2000;4;11.2414624;16000000000;1.423;2.977;74.43
2000;8;10.2720757;16000000000;1.558;3.258;40.73
